seconds,clock,member,playerControlled,phase,cell,x,y,destination,stuck,reservationBlocker,movementBlocker,intent,location,interaction,status,pathIndex,pathLength,seat,interactionPhase,termination,staticHere
5.707355,2000-01-03T08:50:00,mother,False,Navigating,"(9,6)",2.507906,7.031731,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",1,7,,None,None,True
5.707438,2000-01-03T08:50:00,older_sister,False,Navigating,"(10,4)",5.174573,6.587286,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",2,12,,None,None,True
5.707512,2000-01-03T08:50:00,player,True,Navigating,"(2,2)",0.158761,2.301603,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",6,9,,None,None,True
5.830937,2000-01-03T08:50:00,father,False,Navigating,"(1,9)",-6.809243,5.039824,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,8,,None,None,True
5.831075,2000-01-03T08:50:00,mother,False,Navigating,"(9,6)",2.364798,6.960176,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",1,7,,None,None,True
5.831164,2000-01-03T08:50:00,older_sister,False,Navigating,"(10,4)",5.031465,6.515732,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",2,12,,None,None,True
5.831238,2000-01-03T08:50:00,player,True,Navigating,"(2,2)",0.301869,2.373157,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",6,9,,None,None,True
5.960436,2000-01-03T08:50:00,father,False,Navigating,"(2,9)",-6.666135,5.111378,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,8,,None,None,True
5.960574,2000-01-03T08:50:00,mother,False,Navigating,"(8,6)",2.221689,6.888622,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",1,7,,None,None,True
5.960659,2000-01-03T08:50:00,older_sister,False,Navigating,"(9,4)",4.888357,6.444178,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",2,12,,None,None,True
5.960733,2000-01-03T08:50:00,player,True,Navigating,"(3,2)",0.444978,2.444711,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",5,9,,None,None,True
6.091160,2000-01-03T08:50:00,father,False,Navigating,"(2,9)",-6.523026,5.182932,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,8,,None,None,True
6.091348,2000-01-03T08:50:00,mother,False,Navigating,"(8,6)",2.078581,6.817068,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",1,7,,None,None,True
6.091438,2000-01-03T08:50:00,older_sister,False,Navigating,"(9,4)",4.745248,6.372624,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",2,12,,None,None,True
6.091516,2000-01-03T08:50:00,player,True,Navigating,"(3,2)",0.588086,2.516265,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",5,9,,None,None,True
6.212651,2000-01-03T08:50:00,father,False,Navigating,"(2,9)",-6.379918,5.254487,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,8,,None,None,True
6.212784,2000-01-03T08:50:00,mother,False,Navigating,"(8,6)",1.935472,6.745514,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",1,7,,None,None,True
6.212865,2000-01-03T08:50:00,older_sister,False,Navigating,"(9,4)",4.602139,6.301070,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",2,12,,None,None,True
6.212939,2000-01-03T08:50:00,player,True,Navigating,"(3,2)",0.731194,2.587819,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",5,9,,None,None,True
6.331886,2000-01-03T08:50:00,father,False,Navigating,"(2,9)",-6.236810,5.326041,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,8,,None,None,True
6.332049,2000-01-03T08:50:00,mother,False,Navigating,"(8,6)",1.792364,6.673960,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",1,7,,None,None,True
6.332162,2000-01-03T08:50:00,older_sister,False,Navigating,"(9,4)",4.459031,6.229516,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",2,12,,None,None,True
6.332266,2000-01-03T08:50:00,player,True,Navigating,"(3,2)",0.874303,2.659373,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",5,9,,None,None,True
6.448006,2000-01-03T08:50:00,father,False,Navigating,"(2,9)",-6.093701,5.397595,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,8,,None,None,True
6.448158,2000-01-03T08:50:00,mother,False,Navigating,"(8,6)",1.688335,6.711388,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",6,7,,None,None,True
6.448241,2000-01-03T08:50:00,older_sister,False,Navigating,"(9,4)",4.315923,6.157961,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",5,12,,None,None,True
6.448317,2000-01-03T08:50:00,player,True,Navigating,"(3,2)",1.017411,2.730927,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",5,9,,None,None,True
6.553581,2000-01-03T08:50:00,father,False,Navigating,"(2,9)",-5.950593,5.469149,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,8,,None,None,True
6.553713,2000-01-03T08:50:00,mother,False,Navigating,"(8,6)",1.545227,6.782942,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",6,7,,None,None,True
6.553802,2000-01-03T08:50:00,older_sister,False,Navigating,"(9,4)",4.172816,6.086407,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",5,12,,None,None,True
6.553884,2000-01-03T08:50:00,player,True,Navigating,"(3,2)",1.160519,2.802482,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",5,9,,None,None,True
6.662400,2000-01-03T08:50:00,father,False,Navigating,"(2,9)",-5.807854,5.540518,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,8,,None,None,True
6.662566,2000-01-03T08:50:00,mother,False,Navigating,"(8,6)",1.402489,6.854311,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",6,7,,None,None,True
