seconds,seat,turn,chairTileErrorPx,stemTileErrorPx,monitorAxisError,keyboardAxisError,member,phase,handMidpointError,standingHeight
103.060000,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.981006,1.857259
103.060100,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
103.060100,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
104.175900,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
104.175900,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.981006,1.857259
104.176000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
104.176000,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
105.259900,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
105.260000,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.981006,1.857259
105.260000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
105.260000,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
106.346800,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
106.346900,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.981006,1.857259
106.346900,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
106.346900,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,6.999283,1.775838
107.346900,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
107.346900,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
107.346900,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,3.843836,1.775838
107.347000,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,6.071297,1.775838
108.429400,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
108.429500,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
108.429500,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,4.040518,1.775838
