frame,actor,phase,grid_x,grid_y,position_x,position_y,radius,desk_penetrating_vertices,desk_min_clearance,body_reach
29,player,Navigating,1.912752,6.947022,-4.474907,4.382122,0.220000,0,1.647898,0.335005
29,father,Navigating,7.127300,10.110640,-2.651858,8.105751,0.220000,0,2.130004,0.351528
30,player,Navigating,1.835041,6.951533,-4.547993,4.349588,0.220000,0,1.691842,0.353108
30,father,Navigating,7.206423,10.108380,-2.579518,8.139913,0.220000,0,1.983950,0.350221
31,player,Navigating,1.757330,6.956043,-4.621078,4.317055,0.220000,0,1.722348,0.382661
31,father,Navigating,7.285545,10.106120,-2.507178,8.174073,0.220000,0,1.863632,0.348776
32,player,Navigating,1.679619,6.960554,-4.694164,4.284521,0.220000,0,1.750729,0.418551
32,father,Navigating,7.364667,10.103860,-2.434838,8.208234,0.220000,0,1.831195,0.349301
33,player,Navigating,1.601908,6.965064,-4.767250,4.251987,0.220000,0,1.781102,0.457209
33,father,Navigating,7.443789,10.101600,-2.362498,8.242394,0.220000,0,1.795843,0.363666
34,player,Navigating,1.524197,6.969574,-4.840336,4.219454,0.220000,0,1.814287,0.492764
34,father,Navigating,7.522911,10.099340,-2.290158,8.276555,0.220000,0,1.762617,0.388089
35,player,Navigating,1.446486,6.974085,-4.913422,4.186920,0.220000,0,1.853101,0.513383
35,father,Navigating,7.602033,10.097080,-2.217818,8.310716,0.220000,0,1.731172,0.397548
36,player,Navigating,1.368775,6.978596,-4.986507,4.154387,0.220000,0,1.920447,0.499608
36,father,Navigating,7.681155,10.094820,-2.145478,8.344876,0.220000,0,1.697886,0.379593
37,player,Navigating,1.291064,6.983106,-5.059593,4.121853,0.220000,0,2.012242,0.457073
37,father,Navigating,7.760278,10.092560,-2.073138,8.379038,0.220000,0,1.663507,0.344521
38,player,Navigating,1.213353,6.987617,-5.132679,4.089320,0.220000,0,2.115010,0.398633
38,father,Navigating,7.839400,10.090300,-2.000798,8.413198,0.220000,0,1.628261,0.340940
39,player,Navigating,1.135642,6.992127,-5.205765,4.056786,0.220000,0,Infinity,0.340794
39,father,Navigating,7.918521,10.088040,-1.928458,8.447359,0.220000,0,1.532081,0.347690
40,player,Navigating,1.057931,6.996637,-5.278851,4.024252,0.220000,0,Infinity,0.348376
40,father,Navigating,7.997643,10.085780,-1.856118,8.481520,0.220000,0,1.445019,0.354375
41,player,Navigating,1.000000,7.000000,-5.333333,4.000000,0.220000,0,Infinity,0.353131
41,father,Navigating,8.076765,10.083520,-1.783778,8.515680,0.220000,0,1.368098,0.360636
42,player,Navigating,0.936062,6.989491,-5.380826,3.966913,0.220000,0,Infinity,0.358438
42,father,Navigating,8.155886,10.081250,-1.711438,8.549840,0.220000,0,1.307116,0.368069
43,player,Navigating,0.900241,6.949512,-5.377130,3.933223,0.220000,0,Infinity,0.361836
43,father,Navigating,8.235007,10.078990,-1.639099,8.584001,0.220000,0,1.257581,0.380499
44,player,Navigating,0.895786,6.883787,-5.322668,3.902032,0.220000,0,2.157201,0.371954
44,father,Navigating,8.314129,10.076730,-1.566759,8.618161,0.220000,0,1.218434,0.392028
45,player,Navigating,0.904617,6.808897,-5.248250,3.872673,0.220000,0,1.946485,0.394719
45,father,Navigating,8.393251,10.074470,-1.494419,8.652322,0.220000,0,1.191742,0.398912
46,player,Navigating,0.913448,6.734008,-5.173831,3.843313,0.220000,0,1.917580,0.424771
46,father,Navigating,8.472373,10.072210,-1.422079,8.686482,0.220000,0,1.172507,0.404280
47,player,Navigating,0.922278,6.659119,-5.099413,3.813954,0.220000,0,1.889354,0.455907
47,father,Navigating,8.551495,10.069950,-1.349740,8.720643,0.220000,0,1.160536,0.407195
