frame,actor,left_pixels,right_pixels,left_outside_pixels,right_outside_pixels,left_min_tile_margin_px,right_min_tile_margin_px,rendered_width,rendered_height,head_width,head_height,head_to_height,shoulder_width,torso_width,leg_width,leg_height,silhouette_pixels,screen_occupation_percent,shoe_centroid_x,shoe_centroid_y,agent_center_x,agent_center_y,shoe_to_agent_x,shoe_to_agent_y
18,player,119,191,119,0,-9.996693,2.394032,38,88,28,25,0.284091,18,19,38,45,1691,0.183485,501.877400,252.703200,500.144300,240.861100,1.733093,11.842090
18,father,132,139,132,44,-10.891100,-5.524530,30,93,29,32,0.344086,16,18,29,41,1755,0.190430,779.880100,393.297100,779.855700,380.716800,0.024414,12.580230
19,player,111,183,6,0,-1.630886,2.394032,37,88,27,25,0.284091,18,19,37,45,1671,0.181315,503.295900,253.642900,501.916800,241.747400,1.379150,11.895480
19,father,138,138,136,35,-9.996672,-5.077316,29,93,28,32,0.344086,17,18,28,41,1775,0.192600,778.630400,392.833300,778.083300,379.830600,0.547180,13.002720
20,player,105,189,9,0,-2.078101,2.394031,35,87,28,25,0.287356,19,20,33,43,1666,0.180773,505.200700,254.823100,503.689200,242.633600,1.511475,12.189540
20,father,136,141,126,27,-8.655029,-4.182888,29,92,28,31,0.336957,17,19,28,41,1771,0.192166,776.713000,392.131800,776.310800,378.944400,0.402222,13.187410
21,player,106,187,12,0,-2.525316,2.394031,34,86,28,25,0.290698,19,21,31,42,1663,0.180447,506.943700,255.820800,505.461700,243.519800,1.482025,12.301030
21,father,136,139,113,16,-7.313387,-3.288460,28,92,28,31,0.336957,17,19,26,41,1767,0.191732,774.787300,391.489100,774.538300,378.058200,0.248962,13.430940
22,player,111,174,8,0,-1.630890,1.946817,33,85,28,25,0.294118,19,22,29,41,1642,0.178168,508.952600,256.763200,507.234100,244.406000,1.718567,12.357130
22,father,148,129,96,7,-6.418959,-1.786859,28,92,28,32,0.347826,17,20,24,40,1769,0.191949,772.640800,390.601100,772.766000,377.172000,-0.125183,13.429110
23,player,107,152,6,0,-1.630891,2.841244,31,85,28,25,0.294118,19,23,26,41,1632,0.177083,511.453700,257.619700,509.006500,245.292200,2.447174,12.327450
23,father,140,108,61,0,-4.630102,0.449208,28,93,28,32,0.344086,18,21,24,41,1777,0.192817,770.213700,389.334700,770.993500,376.285700,-0.779846,13.048950
24,player,98,129,3,0,-1.183678,2.997158,31,85,28,25,0.294118,19,25,26,41,1597,0.173286,513.918500,258.332600,510.779000,246.178500,3.139557,12.154140
24,father,130,93,31,0,-2.841246,1.946812,29,94,28,32,0.340426,19,22,25,43,1776,0.192708,767.652500,387.854200,769.221100,375.399500,-1.568604,12.454710
25,player,69,144,4,0,-0.580550,1.655527,31,86,28,25,0.290698,20,26,29,42,1571,0.170464,516.002300,259.204200,512.551400,247.064700,3.450928,12.139560
