frame,actor,left_pixels,right_pixels,left_outside_pixels,right_outside_pixels,left_min_tile_margin_px,right_min_tile_margin_px,rendered_width,rendered_height,head_width,head_height,head_to_height,shoulder_width,torso_width,leg_width,leg_height,silhouette_pixels,screen_occupation_percent,shoe_centroid_x,shoe_centroid_y,agent_center_x,agent_center_y,shoe_to_agent_x,shoe_to_agent_y
77,father,92,125,0,0,2.841258,1.499623,34,97,28,31,0.319588,22,28,34,47,1857,0.201497,670.988500,338.836400,675.281700,328.429900,-4.293213,10.406460
78,player,168,188,0,37,1.499609,-2.771474,39,89,28,26,0.292135,20,32,39,43,1873,0.203234,614.533700,309.328600,606.490700,294.034300,8.042969,15.294370
78,father,90,130,90,0,-11.022370,1.499623,35,97,28,31,0.319588,23,30,35,47,1869,0.202800,669.081800,338.309100,673.509200,327.543700,-4.427368,10.765380
79,player,167,188,0,54,1.946826,-3.218688,40,89,27,26,0.292135,21,33,40,43,1885,0.204536,615.488700,309.567600,608.263200,294.920500,7.225525,14.647090
79,father,97,137,97,0,-10.575150,1.499622,36,97,28,31,0.319588,23,30,36,47,1877,0.203668,667.585400,337.367500,671.736800,326.657500,-4.151367,10.710020
80,player,166,189,0,76,2.394039,-4.560328,40,89,28,26,0.292135,20,33,40,43,1901,0.206272,616.612700,309.874600,610.035600,295.806700,6.577026,14.067930
80,father,102,131,102,0,-10.127940,1.499621,36,97,28,31,0.319588,23,30,36,47,1883,0.204319,666.057900,336.358400,669.964400,325.771300,-3.906433,10.587100
81,player,162,188,0,89,2.394039,-5.007542,41,90,27,26,0.288889,21,33,41,44,1902,0.206380,617.542800,309.982800,611.808100,296.692900,5.734741,13.289950
81,father,107,137,103,0,-9.996647,1.499619,37,97,28,31,0.319588,24,31,37,47,1889,0.204970,664.573800,335.651600,668.191900,324.885100,-3.618103,10.766570
82,player,160,189,0,109,2.841252,-5.901969,42,91,27,26,0.285714,20,33,42,45,1915,0.207791,618.540100,310.313800,613.580500,297.579100,4.959595,12.734620
82,father,111,134,96,0,-9.549434,1.052406,38,97,28,31,0.319588,24,32,38,47,1890,0.205078,663.124500,334.834700,666.419400,323.998800,-3.294922,10.835850
83,player,155,190,0,123,3.288464,-6.796396,41,91,27,26,0.285714,21,32,41,45,1911,0.207357,619.256500,310.644900,615.353000,298.465400,3.903564,12.179570
83,father,114,140,84,0,-9.102221,0.605192,38,97,28,31,0.319588,24,31,38,48,1893,0.205404,661.775600,334.161400,664.647100,323.112600,-2.871521,11.048800
84,player,161,190,0,138,3.288464,-7.243610,42,92,27,26,0.282609,21,33,42,46,1919,0.208225,620.309100,311.158100,617.125400,299.351600,3.183777,11.806520
84,father,116,135,76,0,-8.339087,0.605191,37,97,29,31,0.319588,24,31,37,48,1866,0.202474,660.336700,333.432300,662.874600,322.226400,-2.537964,11.205870
85,player,161,190,0,138,3.288464,-7.243610,42,92,27,26,0.282609,21,33,42,46,1919,0.208225,620.309100,311.158100,617.125400,299.351600,3.183777,11.806520
85,father,114,139,70,0,-8.339087,0.157977,37,96,29,30,0.312500,25,31,37,47,1871,0.203017,659.673900,333.235200,661.496800,321.529000,-1.822937,11.706150
