frame,actor,phase,left_contact,right_contact,left_grid_x,left_grid_y,right_grid_x,right_grid_y,left_toe_grid_x,left_toe_grid_y,right_toe_grid_x,right_toe_grid_y,left_ankle_line_px,right_ankle_line_px,left_shoe_line_px,right_shoe_line_px,min_contact_shoe_line_px
16,father,0.247931,true,false,6.029649,9.241129,5.961068,9.445695,6.068347,9.150559,5.918398,9.421212,10.186970,2.137001,3.870326,-2.489253,3.870326
17,player,0.289858,true,false,5.995938,2.781403,6.021095,2.532867,5.972366,2.906637,6.036391,2.488266,11.073600,1.293354,3.870297,-4.000000,3.870297
17,father,0.289858,true,false,6.031052,9.240702,5.963415,9.398464,6.068848,9.149467,5.920141,9.399436,10.203820,3.995632,3.870138,-0.059883,3.870138
18,player,0.331784,true,false,5.994742,2.781751,6.013848,2.616610,5.972398,2.907521,6.042965,2.586124,11.087310,4.588775,3.870297,-1.150752,3.870297
18,father,0.331784,true,false,6.032823,9.240306,5.968319,9.343339,6.069775,9.148472,5.916085,9.334506,10.219370,6.164857,3.870363,1.938922,3.870363
19,player,0.373710,true,false,5.993724,2.782108,6.008463,2.716985,5.972675,2.908431,6.049705,2.726540,11.101370,8.538663,3.870241,4.294257,3.870241
19,father,0.373710,true,false,6.034198,9.239899,5.972188,9.275890,6.070246,9.147442,5.912298,9.240657,10.235410,8.819054,3.870476,3.917837,3.870476
20,player,0.415636,true,false,5.993114,2.782439,6.006626,2.843817,5.973180,2.909265,6.061495,2.906241,11.114370,13.529680,3.870354,7.932963,3.870354
20,father,0.415636,true,false,6.035117,9.237267,5.973767,9.190046,6.070283,9.144197,5.905180,9.123024,10.338970,12.197150,3.958367,6.482797,3.958367
21,player,0.457563,true,false,5.992499,2.782726,6.008467,2.987607,5.973746,2.909997,6.072859,3.101556,11.125670,19.188070,3.870288,9.661554,3.870288
21,father,0.457563,true,false,6.036025,9.215999,5.973377,9.075286,6.070335,9.122340,5.898596,8.979947,11.175860,16.713160,4.780242,10.274530,4.780242
22,player,0.499489,true,false,5.992186,2.783097,6.013726,3.117704,5.974607,2.910937,6.075330,3.273103,11.140300,15.043910,3.870345,2.176890,3.870345
22,father,0.499489,true,false,6.036573,9.196818,5.970395,8.971116,6.070004,9.102554,5.898313,8.852567,11.930670,18.510730,5.519515,7.774715,5.519515
23,player,0.541415,false,false,5.992182,2.777213,6.018580,3.220756,5.976116,2.904141,6.067708,3.400658,10.908720,10.988680,3.662099,-3.276479,Infinity
23,father,0.541415,false,false,6.036681,9.179319,5.967778,8.882201,6.069184,9.085147,5.904697,8.750100,12.619290,15.040170,6.210452,3.502546,Infinity
24,player,0.583342,false,false,5.991979,2.775781,6.014838,3.268446,5.978279,2.898647,6.044884,3.447582,10.852390,9.111994,3.709694,-4.000000,Infinity
24,father,0.583342,false,false,6.036276,9.165535,5.970078,8.836347,6.067591,9.073025,5.920911,8.702001,13.161720,13.235710,6.795409,1.570017,Infinity
25,player,0.625268,false,false,5.989200,2.775544,6.005618,3.276188,5.979831,2.888012,6.033381,3.433789,10.843040,8.807354,3.966277,-4.000000,Infinity
25,father,0.625268,false,false,6.036426,9.151728,5.973829,8.817182,6.065609,9.064028,5.928511,8.691174,13.705060,12.481540,7.461802,1.291593,Infinity
26,player,0.667194,false,true,5.983465,2.595073,6.001436,3.088943,5.982081,2.687525,6.039051,3.234497,3.741249,16.175740,-2.623530,3.870420,3.870420
26,father,0.667194,false,true,6.037850,9.206843,5.974048,8.874485,6.062970,9.129351,5.924192,8.754148,11.536180,14.736530,5.554004,3.870175,3.870175
27,player,0.709120,false,true,5.977329,2.635426,5.999893,3.092709,5.983500,2.689586,6.042429,3.235668,5.329211,16.027530,-0.056103,3.870279,3.870279
27,father,0.709120,false,true,6.039293,9.185621,5.972842,8.872680,6.061471,9.131177,5.920451,8.753588,12.371290,14.665480,6.978661,3.870138,3.870138
28,player,0.751047,false,true,5.971525,2.705322,5.999641,3.093218,5.986426,2.706320,6.043056,3.235828,8.079695,16.007500,4.054159,3.870185,3.870185
28,father,0.751047,false,true,6.040521,9.144220,5.970954,8.872455,6.060477,9.127229,5.917902,8.753523,14.000470,14.656610,9.565838,3.870438,3.870438
29,player,0.792973,false,true,5.971937,2.802645,5.999372,3.093712,5.983788,2.772913,6.043748,3.235977,11.909510,15.988060,6.213060,3.870420,3.870420
29,father,0.792973,false,true,6.038276,9.084297,5.969638,8.872225,6.063165,9.092854,5.915904,8.753449,16.358520,14.647580,11.870310,3.870326,3.870326
30,player,0.834899,false,true,5.983677,2.918682,6.000198,3.094337,5.974202,2.895688,6.045311,3.236173,16.475730,15.963450,11.163740,3.870297,3.870297
30,father,0.834899,false,true,6.031694,9.008503,5.968553,8.871933,6.069382,9.010795,5.914191,8.753359,18.428550,14.636120,12.278060,3.870326,3.870326
31,player,0.876825,false,true,5.987873,3.055486,6.000786,3.094870,5.964804,3.070553,6.046751,3.236335,17.492280,15.942470,12.632580,3.870551,3.870551
31,father,0.876825,false,true,6.028968,8.917109,5.967242,8.871678,6.074482,8.894985,5.912246,8.753279,16.413810,14.626080,11.151490,3.870251,3.870251
32,player,0.918752,false,true,5.989303,3.211557,6.000858,3.095357,5.953061,3.276572,6.047612,3.236491,11.350650,15.923330,3.640952,3.870213,3.870213
32,father,0.918752,false,true,6.028629,8.812985,5.966959,8.871428,6.081065,8.761360,5.911320,8.753201,12.316400,14.616210,5.370715,3.870213,3.870213
33,player,0.960678,false,true,5.983950,3.382178,6.001155,3.096152,5.941190,3.495985,6.048645,3.236739,4.636494,15.892030,-4.000000,3.870185,3.870185
33,father,0.960678,false,true,6.031734,8.700855,5.966420,8.870973,6.087649,8.624825,5.910109,8.753060,7.903939,14.598300,-0.434268,3.870288,3.870288
34,player,0.002604,false,true,5.980771,3.526586,6.000998,3.100029,5.942967,3.676400,6.049586,3.237940,1.046195,15.739470,-4.000000,3.870279,3.870279
34,father,0.002604,false,true,6.033341,8.607326,5.966363,8.868786,6.084964,8.514106,5.908966,8.752378,4.223412,14.512230,-4.000000,3.870063,3.870063
35,player,0.044530,false,false,5.986730,3.570823,6.003359,3.136512,5.952064,3.712123,6.049628,3.268131,2.786966,14.303800,-4.000000,2.793633,Infinity
35,father,0.044530,false,false,6.029590,8.556105,5.965360,8.822124,6.077940,8.463901,5.908608,8.709085,2.207766,12.676020,-4.000000,2.226127,Infinity
36,player,0.086457,false,false,5.993629,3.612921,6.006893,3.170970,5.962897,3.745593,6.049708,3.292876,4.443608,12.947830,-2.949943,1.991893,Infinity
36,father,0.086457,false,false,6.025429,8.505928,5.963739,8.777357,6.069845,8.414991,5.908466,8.669520,0.233247,10.914360,-4.000000,0.761278,Infinity
37,player,0.128383,false,false,5.997296,3.648450,6.010289,3.210541,5.969578,3.774077,6.049058,3.317537,5.841725,11.390660,-1.371589,1.285466,Infinity
37,father,0.128383,false,false,6.023771,8.458040,5.962747,8.728737,6.065117,8.368467,5.909811,8.628847,1.651223,9.001094,-4.000000,-0.698543,Infinity
38,player,0.170309,true,false,5.995717,3.781294,6.015543,3.368510,5.969395,3.906356,6.047615,3.448002,11.069330,5.174334,3.870476,-3.361434,3.870476
38,father,0.170309,true,false,6.026185,8.241593,5.961308,8.499051,6.066418,8.151734,5.912076,8.414958,10.168700,0.037375,3.870213,-4.000000,3.870213
39,player,0.212235,true,false,5.995718,3.780985,6.021649,3.409774,5.970231,3.905583,6.045796,3.444501,11.057170,3.550559,3.870147,-2.430971,3.870147
39,father,0.212235,true,false,6.028046,8.241399,5.959686,8.474545,6.067441,8.151237,5.914490,8.418427,10.176380,1.001722,3.870138,-4.000000,3.870138
40,player,0.254161,true,false,5.995766,3.781104,6.022587,3.468140,5.971211,3.905880,6.039705,3.447774,11.061850,1.253741,3.870260,-3.267200,3.870260
40,father,0.254161,true,false,6.029761,8.241057,5.960908,8.438996,6.068313,8.150378,5.918723,8.420467,10.189800,2.400625,3.870326,-2.073362,3.870326
41,player,0.296088,true,false,5.995867,3.781462,6.019981,3.544618,5.972516,3.906796,6.036425,3.499411,11.075930,1.755780,3.870100,-4.000000,3.870100
41,father,0.296088,true,false,6.031316,8.240644,5.964213,8.390861,6.069008,8.149335,5.920023,8.392444,10.206090,4.294847,3.870513,0.204467,3.870513
42,player,0.338014,true,false,5.994548,3.781802,6.012920,3.630221,5.972365,3.907647,6.044010,3.604215,11.089320,5.124372,3.870429,-0.359520,3.870429
42,father,0.338014,true,false,6.033053,8.240240,5.968964,8.334209,6.069866,8.148312,5.915510,8.322306,10.221980,6.524125,3.870551,2.219635,3.870551
43,player,0.379940,true,false,5.993589,3.782155,6.007960,3.734037,5.972723,3.908543,6.051208,3.751324,11.103210,9.209701,3.870391,4.767510,3.870391
43,father,0.379940,true,false,6.034377,8.239832,5.972582,8.264532,6.070275,8.147275,5.911422,8.224413,10.238010,9.266027,3.870551,4.239831,3.870551
44,player,0.421866,true,false,5.993040,3.782487,6.006693,3.864848,5.973280,3.909387,6.063485,3.935325,11.116250,14.357280,3.870363,8.554595,3.870363
44,father,0.421866,true,false,6.035243,8.234024,5.973832,8.173097,6.070301,8.140877,5.903986,8.101542,10.466540,12.864140,4.083976,7.033903,4.083976
45,player,0.463793,true,false,5.992422,3.782769,6.008988,4.007702,5.973830,3.910100,6.073856,4.128311,11.127370,19.322040,3.870438,8.490740,3.870438
45,father,0.463793,true,false,6.036144,8.213118,5.973081,8.059322,6.070305,8.119361,5.898095,7.960256,11.289250,17.341340,4.891101,10.337760,4.891101
46,player,0.505719,true,false,5.992191,3.783101,6.014575,4.135564,5.974783,3.910942,6.074800,4.295881,11.140440,14.341110,3.870485,1.193437,3.870485
46,father,0.505719,true,false,6.036602,8.194072,5.969949,7.956641,6.069931,8.099767,5.898910,7.835368,12.038760,17.969490,5.626547,7.049721,5.626547
47,player,0.547645,false,false,5.992144,3.777400,6.018940,4.233624,5.976414,3.903961,6.065728,4.415212,10.916110,10.482290,3.678884,-3.879046,Infinity
47,father,0.547645,false,false,6.036669,8.176996,5.967644,7.871616,6.069005,8.082960,5.906256,7.738484,12.710700,14.623640,6.305362,3.027192,Infinity
48,player,0.589571,false,false,5.991816,3.775062,6.012688,4.266361,5.978543,3.897012,6.039441,4.442354,10.824100,9.194039,3.704825,-4.000000,Infinity
48,father,0.589571,false,false,6.036235,8.163815,5.971195,7.835486,6.067325,8.071694,5.924517,7.702005,13.229390,13.201870,6.873055,1.585478,Infinity
49,player,0.631498,false,false,5.988475,3.775926,6.004893,4.276987,5.980174,3.886122,6.034010,4.432025,10.858070,8.775894,4.039420,-4.000000,Infinity
