seconds,seat,turn,chairTileErrorPx,stemTileErrorPx,monitorAxisError,keyboardAxisError,member,phase,handMidpointError,standingHeight,seatedBlend,workClock,leftHandError,rightHandError,leftKneeDegrees,rightKneeDegrees,frame,ready
81.223040,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,8.881053,1.857259,0.000000,0.000000,8.676176,9.086560,154.640600,155.404100,3790,True
81.223070,seat_father,SouthEast,0.363037,0.363037,0.000000,0.000000,none,none,,,,,,,,,3790,True
81.272950,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,3793,True
81.273010,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,8.881053,1.857259,0.000000,0.000000,8.676176,9.086560,154.640600,155.404100,3793,True
81.273040,seat_father,SouthEast,0.363037,0.363037,0.000000,0.000000,none,none,,,,,,,,,3793,True
81.306360,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,3795,True
81.306410,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,8.881053,1.857259,0.000000,0.000000,8.676176,9.086560,154.640600,155.404100,3795,True
81.306440,seat_father,SouthEast,0.363037,0.363037,0.000000,0.000000,none,none,,,,,,,,,3795,True
81.339740,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,3797,True
81.339800,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,8.881053,1.857259,0.000000,0.000000,8.676176,9.086560,154.640600,155.404100,3797,True
81.339830,seat_father,SouthEast,0.363037,0.363037,0.000000,0.000000,none,none,,,,,,,,,3797,True
81.373410,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,3799,True
81.373470,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,8.881053,1.857259,0.000000,0.000000,8.676176,9.086560,154.640600,155.404100,3799,True
81.373500,seat_father,SouthEast,0.363037,0.363037,0.000000,0.000000,none,none,,,,,,,,,3799,True
81.423190,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,3802,True
81.423260,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,8.881053,1.857259,0.000000,0.000000,8.676176,9.086560,154.640600,155.404100,3802,True
81.423290,seat_father,SouthEast,0.363037,0.363037,0.000000,0.000000,none,none,,,,,,,,,3802,True
87.593960,seat_player,NorthWest,0.000061,0.000061,0.000000,0.000000,none,none,,,,,,,,,4015,True
87.594020,seat_older_sister,NorthEast,0.000275,0.000275,0.000000,0.000000,older_sister,Navigating,8.880192,1.857259,0.000000,0.000000,8.675261,9.085749,154.640600,155.404100,4015,True
87.594050,seat_father,SouthEast,0.000244,0.000244,0.000000,0.000000,none,none,,,,,,,,,4015,True
87.594060,seat_mother,SouthWest,0.000275,0.000275,0.000000,0.000000,none,none,,,,,,,,,4015,True
87.631870,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,4018,True
