seconds,seat,turn,chairTileErrorPx,stemTileErrorPx,monitorAxisError,keyboardAxisError,member,phase,handMidpointError,standingHeight,seatedBlend,workClock,leftHandError,rightHandError,leftKneeDegrees,rightKneeDegrees,frame,ready
80.537490,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,4015,True
80.537570,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,4015,True
80.537610,seat_father,SouthEast,0.363037,0.363037,0.000000,0.000000,none,none,,,,,,,,,4015,True
80.570840,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,4017,True
80.570920,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,4017,True
80.570950,seat_father,SouthEast,0.363037,0.363037,0.000000,0.000000,none,none,,,,,,,,,4017,True
80.620550,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,4020,True
80.620630,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,4020,True
80.620650,seat_father,SouthEast,0.363037,0.363037,0.000000,0.000000,none,none,,,,,,,,,4020,True
80.654040,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,4022,True
80.654110,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,4022,True
80.654140,seat_father,SouthEast,0.363037,0.363037,0.000000,0.000000,none,none,,,,,,,,,4022,True
80.687420,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,4024,True
80.687480,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,4024,True
80.687520,seat_father,SouthEast,0.363037,0.363037,0.000000,0.000000,none,none,,,,,,,,,4024,True
86.742340,seat_player,NorthWest,0.000061,0.000061,0.000000,0.000000,none,none,,,,,,,,,4238,True
86.742390,seat_older_sister,NorthEast,0.000275,0.000275,0.000000,0.000000,older_sister,Navigating,8.778189,1.857259,0.000000,0.000000,8.885842,8.671409,154.640700,155.403900,4238,True
86.742420,seat_father,SouthEast,0.000244,0.000244,0.000000,0.000000,none,none,,,,,,,,,4238,True
86.742440,seat_mother,SouthWest,0.000275,0.000275,0.000000,0.000000,none,none,,,,,,,,,4238,True
86.780190,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,4241,True
86.780260,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,8.777619,1.857259,0.000000,0.000000,8.885212,8.670900,154.640500,155.403700,4241,True
86.780290,seat_father,SouthEast,0.363037,0.363037,0.000000,0.000000,none,none,,,,,,,,,4241,True
86.780300,seat_mother,SouthWest,0.363068,0.363068,0.000000,0.000000,none,none,,,,,,,,,4241,True
