frame,seconds,dt,member,cellX,cellY,gridX,gridY,rootX,rootY,footMidX,footMidY,footMidErrorPx,leftGroundX,leftGroundY,rightGroundX,rightGroundY,leftActualX,leftActualY,rightActualX,rightActualY,leftWorldX,leftWorldY,leftWorldZ,rightWorldX,rightWorldY,rightWorldZ,rootWorldX,rootWorldZ,yaw,phase,footLead,leftContact,rightContact,gaitDistance,displacement,pathErrorPx,lowestMeshY,direction,destinationX,destinationY,pathCount,hostCount
5,0.513238,0.076859,older_sister,10,4,9.579900,3.999999,875.891600,375.815600,873.271400,376.901400,2.836332,880.635300,373.663200,865.907300,380.139600,880.635300,362.264100,865.907300,368.646500,4.344803,0.291069,-0.348883,4.078882,0.293472,-0.514255,4.259153,-0.403842,234.737200,0.525126,-0.312602,1,0,0.417500,0.030000,0.000086,0.143359,1,4,9,12,4
5,0.513238,0.076859,player,1,2,1.420101,2.000000,615.484700,590.569300,618.104900,589.483300,2.836323,610.741300,592.721900,625.468500,586.244700,610.741300,581.322800,625.468500,574.751500,-0.528283,0.291069,-5.942419,-0.262374,0.293472,-5.777026,-0.442637,-5.887453,54.732650,0.525126,-0.312602,1,0,0.417500,0.030000,0.000193,0.143359,5,8,4,10,4
6,0.593859,0.081353,father,2,9,1.500599,9.000001,322.961100,440.904700,323.478100,440.561300,0.620678,316.385000,443.249600,330.571300,437.873000,316.385000,433.811300,330.571300,428.956400,-5.843048,0.240999,-2.125730,-5.586908,0.227679,-1.988442,-5.724313,-2.065856,54.737110,0.625749,-0.288402,0,0,0.497500,0.030000,0.000043,0.123853,5,4,5,8,4
6,0.593859,0.081353,mother,8,6,8.499400,6.000000,745.662700,356.379400,745.145800,356.722800,0.620653,752.238800,354.034500,738.052600,359.411100,752.238800,344.596300,738.052600,350.494500,2.026534,0.240999,0.152323,1.770394,0.227679,0.015036,1.907799,0.092450,234.737100,0.625749,-0.288401,0,0,0.497500,0.030000,0.000246,0.123853,1,8,11,7,4
6,0.593859,0.081353,older_sister,9,4,9.499402,3.999998,872.488500,377.517300,871.854000,377.870700,0.726310,880.878400,373.650700,862.829600,382.090800,880.878400,361.640600,862.829600,371.186700,4.349193,0.306670,-0.348563,4.023312,0.278429,-0.564077,4.197710,-0.447296,234.731500,0.625749,-0.390507,0,0,0.497500,0.030000,0.000110,0.128808,1,4,9,12,4
6,0.593859,0.081353,player,2,2,1.500600,2.000000,618.887800,588.867900,619.522500,588.514500,0.726425,610.497500,592.733900,628.547400,584.295100,610.497500,580.723900,628.547400,573.391000,-0.532685,0.306670,-5.942726,-0.206783,0.278429,-5.727244,-0.381193,-5.844008,54.737080,0.625749,-0.390506,0,0,0.497500,0.030000,0.000136,0.128808,5,8,4,10,4
7,0.716256,0.121388,father,2,9,1.581098,9.000001,326.364200,439.203000,324.495900,439.912100,1.998381,318.130300,442.131500,330.861500,437.692800,318.130300,431.470200,330.861500,428.812100,-5.811535,0.272230,-2.097181,-5.581668,0.226762,-1.983841,-5.662868,-2.022403,54.732010,0.726371,-0.253120,0,1,0.577500,0.030000,0.000232,0.123853,5,4,5,8,4
7,0.716256,0.121388,mother,8,6,8.418901,6.000000,742.259600,358.081100,744.127900,357.371900,1.998341,750.493500,355.152600,737.762400,359.591300,750.493500,344.491200,737.762400,350.710600,1.995021,0.272231,0.123775,1.765154,0.226763,0.010435,1.846354,0.048996,234.732100,0.726371,-0.253120,0,1,0.577500,0.030000,0.000110,0.123853,1,8,11,7,4
7,0.716256,0.121388,older_sister,9,4,9.418903,3.999998,869.085400,379.218600,871.508900,378.388300,2.561758,879.368500,374.899800,863.649400,381.876800,879.368500,361.534000,863.649400,371.034100,4.321932,0.341288,-0.380458,4.038115,0.276863,-0.558613,4.136265,-0.490737,234.739500,0.726371,-0.334594,0,1,0.577500,0.030000,0.000110,0.128808,1,4,9,12,4
7,0.716256,0.121388,player,2,2,1.581098,2.000000,622.290800,587.166100,619.867500,587.996700,2.561721,612.008500,591.485900,627.726400,584.507500,612.008500,578.120100,627.726400,573.664700,-0.505401,0.341288,-5.910857,-0.221607,0.276863,-5.732667,-0.319749,-5.800555,54.732360,0.726371,-0.334594,0,1,0.577500,0.030000,0.000273,0.128808,5,8,4,10,4
