seconds,seat,turn,chairTileErrorPx,stemTileErrorPx,monitorAxisError,keyboardAxisError,member,phase,handMidpointError,standingHeight,seatedBlend,workClock,leftHandError,rightHandError,leftKneeDegrees,rightKneeDegrees,frame,ready
81.228720,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3989,True
81.228810,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3989,True
81.228840,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,,,,,,,,3989,True
81.278650,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3992,True
81.278740,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3992,True
81.278770,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,,,,,,,,3992,True
81.312030,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3994,True
81.312130,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3994,True
81.312230,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,,,,,,,,3994,True
81.362220,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3997,True
81.362290,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3997,True
81.362320,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,,,,,,,,3997,True
87.443790,seat_player,NorthWest,0.000092,0.000092,0.000000,0.000000,none,none,,,,,,,,,4211,True
87.443840,seat_older_sister,NorthEast,0.000305,0.000305,0.000000,0.000000,older_sister,Navigating,8.778189,1.857259,0.000000,0.000000,8.885842,8.671409,154.640700,155.403900,4211,True
87.443870,seat_father,SouthEast,0.000305,0.000305,0.000000,0.000000,none,none,,,,,,,,,4211,True
87.443890,seat_mother,SouthWest,0.000305,0.000305,0.000000,0.000000,none,none,,,,,,,,,4211,True
87.483400,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,4214,True
87.483470,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,8.777619,1.857259,0.000000,0.000000,8.885212,8.670900,154.640500,155.403700,4214,True
87.483510,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,,,,,,,,4214,True
87.483530,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,,,,,,,,4214,True
87.640590,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,4217,True
87.640660,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,8.777619,1.857259,0.000000,0.000000,8.885212,8.670900,154.640500,155.403700,4217,True
87.640700,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,,,,,,,,4217,True
87.640720,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,,,,,,,,4217,True
87.680560,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,4220,True
87.680630,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,8.777619,1.857259,0.000000,0.000000,8.885212,8.670900,154.640500,155.403700,4220,True
87.680660,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,,,,,,,,4220,True
87.680680,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,,,,,,,,4220,True
87.714020,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,4222,True
87.714100,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,8.777619,1.857259,0.000000,0.000000,8.885212,8.670900,154.640500,155.403700,4222,True
87.714140,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,,,,,,,,4222,True
87.714160,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,,,,,,,,4222,True
87.763900,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,4225,True
87.763960,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,8.777619,1.857259,0.000000,0.000000,8.885212,8.670900,154.640500,155.403700,4225,True
87.764000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,,,,,,,,4225,True
87.764020,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,,,,,,,,4225,True
87.814230,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,4228,True
87.814350,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,8.777619,1.857259,0.000000,0.000000,8.885212,8.670900,154.640500,155.403700,4228,True
87.814390,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,,,,,,,,4228,True
87.814410,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,,,,,,,,4228,True
87.863920,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,4231,True
