seconds,seat,turn,chairTileErrorPx,stemTileErrorPx,monitorAxisError,keyboardAxisError,member,phase,handMidpointError,standingHeight
99.591420,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,3.248469,1.857259
99.591440,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
99.591450,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
100.674600,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
100.674700,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,3.113914,1.857259
100.674700,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
100.674700,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
101.731500,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
101.731600,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,3.289393,1.857259
101.731600,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
101.731600,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
102.819900,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
102.819900,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,3.095212,1.857259
102.820000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
102.820000,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,7.073233,1.775838
103.933300,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
103.933300,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,3.336618,1.857259
103.933400,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
103.933400,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,6.055114,1.775838
104.956300,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
104.956300,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
104.956400,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,1.915521,1.775838
104.956400,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,5.080185,1.775838
105.969000,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
105.969100,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
105.969100,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,1.765233,1.775838
105.969100,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,4.489992,1.775838
107.084100,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
107.084100,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
107.084100,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,1.894455,1.775838
107.084100,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,4.051536,1.775838
108.182000,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
108.182100,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
108.182100,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,2.144288,1.775838
108.182100,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,3.329236,1.775838
109.282900,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
109.283000,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
109.283000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
109.283000,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
110.388100,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
110.388200,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
110.388200,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
110.388200,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
111.443300,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
111.443300,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,3.063575,1.857259
111.443300,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
111.443400,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
112.526900,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
112.527000,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,3.567164,1.857259
112.527000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
112.527000,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
113.612300,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
113.612300,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.696260,1.857259
113.612300,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
113.612400,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
114.694700,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
114.694800,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,1.851012,1.857259
114.694800,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
114.694800,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
115.711600,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
115.711600,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,1.430839,1.857259
115.711600,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
115.711700,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
116.735800,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
116.735900,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Working,0.000000,1.857259
116.735900,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
116.735900,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
117.827100,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
117.827100,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Working,0.000000,1.857259
117.827100,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
117.827200,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
118.910200,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
118.910200,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Working,0.000001,1.857259
118.910200,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
118.910200,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
119.994200,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
119.994200,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Working,0.000000,1.857259
119.994200,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,1.852871,1.775838
119.994200,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
121.010000,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
121.010100,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Working,0.000000,1.857259
121.010100,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,1.817137,1.775838
121.010100,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
122.081400,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
122.081400,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
122.081500,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,1.784588,1.775838
122.081500,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,4.027462,1.775838
123.094700,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
123.094700,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
123.094700,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,1.852205,1.775838
123.094700,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,4.029305,1.775838
124.110000,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
124.110000,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
124.110000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,2.106051,1.775838
124.110000,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,4.023533,1.775838
