frame,motionClock,direction,pose,phase
315,8.858529983,NE,5,0.913723900
316,8.885212084,NE,5,0.940572700
317,8.927070687,NE,5,0.982691800
318,8.955266187,NE,0,0.011062620
319,8.999583483,NE,0,0.055656430
320,9.024306782,SE,0,0.080533980
321,9.051470388,SE,0,0.107866300
322,9.095730988,SE,0,0.152402900
323,9.121412387,SE,1,0.178244600
324,9.162868787,SE,1,0.219959300
325,9.187897990,SE,1,0.245143900
326,9.230914889,SE,1,0.288429300
327,9.256458383,SE,1,0.314131700
328,9.298593586,SE,2,0.356529200
329,9.324612783,SE,2,0.382710500
330,9.352053387,SE,2,0.410322200
331,9.394158581,SE,2,0.452690100
332,9.418849986,SE,2,0.477535200
333,9.461005285,SE,3,0.519952800
334,9.487109281,SE,3,0.546219800
335,9.530490085,SE,3,0.589870500
336,9.556070287,SE,3,0.615610100
337,9.598763186,SE,3,0.658569300
338,9.624493983,SE,4,0.684460600
339,9.667536981,SE,4,0.727771800
340,9.692986181,SE,4,0.753379800
341,9.719469685,SE,4,0.780028300
342,9.765348086,SE,4,0.826191900
343,9.790004188,SE,5,0.851001700
344,9.833358284,SE,5,0.894625700
345,9.860114889,SE,5,0.921549800
346,9.886917384,SE,5,0.948518800
347,9.931277391,SE,5,0.993155500
348,9.957327491,SE,0,0.019368170
349,10.000036689,SE,0,0.062342640
350,10.025302690,SE,0,0.087766650
351,10.051525386,SE,0,0.114152900
352,10.094036292,SE,0,0.156928100
353,10.121318089,SE,1,0.184380500
354,10.164722193,SE,1,0.228055000
355,10.189070592,SE,1,0.252554900
356,10.231528593,SE,1,0.295277600
357,10.256646592,SE,1,0.320551900
358,10.298341291,SE,2,0.362505900
359,10.323930889,SE,2,0.388255100
360,10.366734389,SE,2,0.431325900
361,10.393716490,SE,2,0.458476100
362,10.419730393,SE,2,0.484651600
363,10.461811792,SE,3,0.526995700
364,10.487549696,SE,3,0.552893600
365,10.531679593,SE,3,0.597298600
366,10.558249490,SE,3,0.624033900
367,10.599634893,SE,3,0.665677100
368,10.624840491,SE,4,0.691040000
369,10.666318892,SE,4,0.732776600
370,10.691944091,SE,4,0.758561100
371,10.734401595,SE,4,0.801283800
372,10.760011593,SE,4,0.827053100
373,10.790275695,SE,5,0.857505800
374,10.832581896,SE,5,0.900075900
375,10.859307194,SE,5,0.926967600
376,10.886590591,SE,5,0.954421000
377,10.928879090,SE,5,0.996973000
378,10.953554196,SE,0,0.021801950
379,10.985360594,SE,0,0.053806300
380,11.031775191,SE,0,0.100509600
381,11.058178792,SE,0,0.127078100
382,11.086534390,SE,0,0.155610100
383,11.129813593,SE,1,0.199158700
384,11.156367894,SE,1,0.225878700
385,11.200060397,SE,1,0.269844100
386,11.226121692,SE,1,0.296067200
387,11.254265392,SE,1,0.324386600
388,11.297564393,SE,2,0.367955200
389,11.324537991,SE,2,0.395096800
390,11.353158895,SE,2,0.423895800
391,11.396884697,SE,2,0.467894600
392,11.422311695,SE,2,0.493479700
393,11.452476498,SE,3,0.523832300
394,11.497300599,SE,3,0.568935400
395,11.524332592,SE,3,0.596136100
396,11.567208294,SE,3,0.639279400
397,11.596213998,SE,4,0.668465600
398,11.623244498,SE,4,0.695664400
399,11.667513197,SE,4,0.740208600
400,11.693075491,SE,4,0.765930200
401,11.719726795,SE,4,0.792747500
402,11.764604092,SE,5,0.837904900
403,11.794425491,SE,5,0.867912300
404,11.821353495,SE,5,0.895008100
405,11.865681997,SE,5,0.939612400
406,11.893427894,SE,5,0.967531200
407,11.922549095,SE,5,0.996833800
408,11.966554793,SE,0,0.041113850
409,11.992929395,SE,0,0.067652700
410,12.020620296,SW,0,0.095516200
411,12.065730890,SW,0,0.140907300
412,12.094732590,SW,1,0.170089700
413,12.123839194,SW,1,0.199378000
414,12.152532093,SW,1,0.228249500
415,12.196182992,SW,1,0.272172900
416,12.223003691,SW,1,0.299160000
