frame,actor,phase,grid_x,grid_y,position_x,position_y,radius
40,father,Navigating,10.486710,9.999998,0.432632,9.549647,0.220000
41,player,Navigating,2.607712,1.000000,1.429078,2.047872,0.220000
41,father,Navigating,10.465200,9.999997,0.413515,9.540089,0.220000
42,player,Navigating,2.624483,1.000000,1.443985,2.055326,0.220000
42,father,Navigating,10.448430,9.999997,0.398607,9.532635,0.220000
43,player,Navigating,2.704981,1.000000,1.515539,2.091103,0.220000
43,father,Navigating,10.367930,9.999997,0.327053,9.496858,0.220000
44,player,Navigating,2.726642,1.000000,1.534793,2.100729,0.220000
44,father,Navigating,10.346270,9.999998,0.307800,9.487231,0.220000
45,player,Navigating,2.743413,1.000000,1.549700,2.108183,0.220000
45,father,Navigating,10.329500,9.999997,0.292892,9.479777,0.220000
46,player,Navigating,2.823911,1.000000,1.621255,2.143960,0.220000
46,father,Navigating,10.249000,9.999998,0.221338,9.444000,0.220000
47,player,Navigating,2.845015,1.000000,1.640013,2.153340,0.220000
47,father,Navigating,10.227900,9.999998,0.202579,9.434621,0.220000
48,player,Navigating,2.861786,1.000000,1.654921,2.160794,0.220000
48,father,Navigating,10.211130,9.999997,0.187672,9.427167,0.220000
49,player,Navigating,2.942284,1.000000,1.726475,2.196571,0.220000
49,father,Navigating,10.130630,9.999997,0.116117,9.391390,0.220000
50,player,Navigating,2.963527,1.000000,1.745357,2.206012,0.220000
50,father,Navigating,10.109390,9.999997,0.097235,9.381948,0.220000
51,player,Navigating,2.980298,1.000000,1.760265,2.213466,0.220000
51,father,Navigating,10.092620,9.999997,0.082327,9.374495,0.220000
52,player,Navigating,3.060796,1.000000,1.831819,2.249243,0.220000
52,father,Navigating,10.012120,9.999997,0.010773,9.338717,0.220000
53,player,Navigating,3.084049,1.000000,1.852488,2.259577,0.220000
53,father,Navigating,9.988863,9.999997,-0.009896,9.328382,0.220000
54,player,Navigating,3.100820,1.000000,1.867395,2.267031,0.220000
54,father,Navigating,9.972093,9.999996,-0.024803,9.320929,0.220000
55,player,Navigating,3.181318,1.000000,1.938950,2.302808,0.220000
55,father,Navigating,9.891594,9.999996,-0.096358,9.285151,0.220000
56,player,Navigating,3.202632,1.000000,1.957895,2.312281,0.220000
56,father,Navigating,9.870280,9.999996,-0.115303,9.275679,0.220000
57,player,Navigating,3.219402,1.000000,1.972802,2.319734,0.220000
57,father,Navigating,9.853510,9.999997,-0.130210,9.268226,0.220000
58,player,Navigating,3.299901,1.000000,2.044356,2.355511,0.220000
58,father,Navigating,9.773012,9.999997,-0.201765,9.232449,0.220000
59,player,Navigating,3.320207,1.000000,2.062407,2.364537,0.220000
59,father,Navigating,9.752705,9.999996,-0.219815,9.223423,0.220000
60,player,Navigating,3.336978,1.000000,2.077314,2.371990,0.220000
60,father,Navigating,9.735933,9.999996,-0.234722,9.215969,0.220000
61,player,Navigating,3.417477,1.000000,2.148868,2.407767,0.220000
61,father,Navigating,9.655436,9.999996,-0.306277,9.180192,0.220000
62,player,Navigating,3.438874,1.000000,2.167888,2.417277,0.220000
62,father,Navigating,9.634037,9.999996,-0.325297,9.170682,0.220000
63,player,Navigating,3.455645,1.000000,2.182795,2.424731,0.220000
63,father,Navigating,9.617267,9.999996,-0.340204,9.163228,0.220000
64,player,Navigating,3.536143,1.000000,2.254349,2.460508,0.220000
64,father,Navigating,9.536768,9.999996,-0.411758,9.127451,0.220000
65,player,Navigating,3.556866,1.000000,2.272769,2.469718,0.220000
65,father,Navigating,9.516046,9.999996,-0.430178,9.118241,0.220000
66,player,Navigating,3.573636,1.000000,2.287677,2.477172,0.220000
66,father,Navigating,9.499275,9.999996,-0.445086,9.110787,0.220000
