frame,seconds,dt,member,cellX,cellY,gridX,gridY,rootX,rootY,footMidX,footMidY,footMidErrorPx,leftGroundX,leftGroundY,rightGroundX,rightGroundY,leftActualX,leftActualY,rightActualX,rightActualY,leftWorldX,leftWorldY,leftWorldZ,rightWorldX,rightWorldY,rightWorldZ,rootWorldX,rootWorldZ,yaw,phase,footLead,leftContact,rightContact,gaitDistance,displacement,pathErrorPx,lowestMeshY,direction,destinationX,destinationY,pathCount,hostCount
3,0.443880,0.119566,player,2,2,2.259104,2.000000,650.953700,572.835000,648.869600,574.116100,2.446331,651.990700,572.197700,645.748500,576.034600,651.990700,561.116000,645.748500,560.533300,0.216499,0.282963,-5.418344,0.103793,0.395816,-5.516318,0.197775,-5.434618,54.739470,0.323880,0.148588,1,0,0.257500,0.030000,0.000000,0.143359,5,8,4,9,4
4,0.555037,0.113450,father,1,9,1.339602,9.000001,316.154900,444.307500,316.126100,444.288700,0.034408,314.577100,444.227100,317.675100,444.350300,314.577100,435.261500,317.675100,433.588000,-5.875691,0.228933,-2.150691,-5.819755,0.274811,-2.153838,-5.847202,-2.152743,54.732670,0.424503,-0.043854,1,0,0.337500,0.030000,0.000341,0.131835,5,4,5,8,4
4,0.555037,0.113450,mother,9,6,8.660397,6.000000,752.468900,352.976600,752.497700,352.995400,0.034383,754.046700,353.056900,750.948700,352.933700,754.046700,344.091300,750.948700,342.171300,2.059177,0.228933,0.177285,2.003241,0.274812,0.180431,2.030688,0.179337,234.732000,0.424503,-0.043853,1,0,0.337500,0.030000,0.000031,0.131834,1,8,11,7,4
4,0.555037,0.113450,older_sister,10,4,9.660398,4.000000,879.294600,374.114100,879.309400,374.053100,0.062782,881.019000,373.443100,877.599900,374.663100,881.019000,362.176700,877.599900,361.360700,4.351731,0.287681,-0.343262,4.289997,0.339668,-0.374416,4.320597,-0.360397,234.732100,0.424503,-0.068391,1,0,0.337500,0.030000,0.000061,0.143359,1,4,9,12,4
4,0.555037,0.113450,player,2,2,2.339603,2.000000,654.356800,571.133400,654.342000,571.194400,0.062738,652.632400,571.804400,656.051600,570.584500,652.632400,560.538000,656.051600,557.282100,0.228084,0.287681,-5.408301,0.289820,0.339668,-5.377151,0.259219,-5.391169,54.735020,0.424503,-0.068392,1,0,0.337500,0.030000,0.000086,0.143359,5,8,4,9,4
5,0.668798,0.110150,father,1,9,1.420101,9.000001,319.558000,442.606200,321.602000,441.660900,2.251989,315.762000,443.606900,327.442000,439.714900,315.762000,434.631000,327.442000,430.323200,-5.854297,0.229193,-2.134853,-5.643408,0.239811,-2.035474,-5.785758,-2.109302,54.739490,0.525126,-0.229569,1,0,0.417500,0.030000,0.000136,0.131835,5,4,5,8,4
5,0.668798,0.110150,mother,9,6,8.579899,6.000000,749.065800,354.677900,747.021800,355.623200,2.252029,752.861800,353.677200,741.181800,357.569200,752.861800,344.701400,741.181800,348.177600,2.037782,0.229193,0.161446,1.826894,0.239811,0.062068,1.969243,0.135895,234.739600,0.525126,-0.229569,1,0,0.417500,0.030000,0.000193,0.131834,1,8,11,7,4
5,0.668798,0.110150,older_sister,10,4,9.579899,4.000000,875.891500,375.815600,873.271200,376.901400,2.836389,880.635100,373.663200,865.907200,380.139600,880.635100,362.264100,865.907200,368.646500,4.344801,0.291069,-0.348883,4.078880,0.293472,-0.514255,4.259152,-0.403842,234.737200,0.525126,-0.312603,1,0,0.417500,0.030000,0.000136,0.143359,1,4,9,12,4
5,0.668798,0.110150,player,2,2,2.420101,2.000000,657.759900,569.431800,660.380100,568.345900,2.836356,653.016300,571.584400,667.743900,565.107400,653.016300,560.185200,667.743900,553.614300,0.235017,0.291069,-5.402682,0.500931,0.293472,-5.237298,0.320664,-5.347720,54.734720,0.525126,-0.312602,1,0,0.417500,0.030000,0.000136,0.143359,5,8,4,9,4
6,0.785051,0.113830,father,2,9,1.500599,9.000001,322.961100,440.904700,323.478100,440.561300,0.620678,316.385000,443.249600,330.571300,437.873000,316.385000,433.811400,330.571300,428.956500,-5.843048,0.240999,-2.125730,-5.586908,0.227679,-1.988442,-5.724313,-2.065856,54.737110,0.625749,-0.288402,0,0,0.497500,0.030000,0.000043,0.123853,5,4,5,8,4
6,0.785051,0.113830,mother,8,6,8.499400,6.000000,745.662700,356.379400,745.145800,356.722800,0.620653,752.238800,354.034500,738.052600,359.411100,752.238800,344.596300,738.052600,350.494500,2.026533,0.240999,0.152323,1.770394,0.227679,0.015036,1.907799,0.092450,234.737100,0.625749,-0.288401,0,0,0.497500,0.030000,0.000246,0.123853,1,8,11,7,4
6,0.785051,0.113830,older_sister,9,4,9.499401,4.000000,872.488400,377.517300,871.853800,377.870700,0.726417,880.878200,373.650700,862.829300,382.090700,880.878200,361.640700,862.829300,371.186600,4.349190,0.306670,-0.348565,4.023307,0.278429,-0.564075,4.197707,-0.447296,234.732100,0.625749,-0.390507,0,0,0.497500,0.030000,0.000061,0.128809,1,4,9,12,4
6,0.785051,0.113830,player,3,2,2.500599,2.000000,661.163000,567.730400,661.797600,567.377000,0.726402,652.772700,571.596400,670.822600,563.157600,652.772700,559.586400,670.822600,552.253500,0.230617,0.306670,-5.402992,0.556519,0.278429,-5.187510,0.382109,-5.304274,54.737090,0.625749,-0.390506,0,0,0.497500,0.030000,0.000000,0.128809,5,8,4,9,4
7,0.945868,0.160640,father,2,9,1.581098,9.000001,326.364200,439.203000,324.495900,439.912100,1.998381,318.130300,442.131500,330.861500,437.692800,318.130300,431.470200,330.861500,428.812100,-5.811535,0.272230,-2.097181,-5.581668,0.226762,-1.983841,-5.662868,-2.022403,54.732010,0.726371,-0.253120,0,1,0.577500,0.030000,0.000232,0.123853,5,4,5,8,4
7,0.945868,0.160640,mother,8,6,8.418901,6.000000,742.259600,358.081100,744.127900,357.371900,1.998341,750.493500,355.152600,737.762400,359.591300,750.493500,344.491200,737.762400,350.710600,1.995021,0.272230,0.123775,1.765154,0.226763,0.010435,1.846354,0.048996,234.732100,0.726371,-0.253120,0,1,0.577500,0.030000,0.000110,0.123853,1,8,11,7,4
7,0.945868,0.160640,older_sister,9,4,9.418902,4.000000,869.085300,379.218600,871.508800,378.388300,2.561758,879.368300,374.899800,863.649300,381.876800,879.368300,361.534000,863.649300,371.034100,4.321929,0.341288,-0.380458,4.038112,0.276863,-0.558613,4.136262,-0.490737,234.739500,0.726371,-0.334594,0,1,0.577500,0.030000,0.000164,0.128809,1,4,9,12,4
7,0.945868,0.160640,player,3,2,2.581098,2.000000,664.566000,566.028700,662.142600,566.859200,2.561759,654.283800,570.348400,670.001600,563.370000,654.283800,556.982600,670.001600,552.527300,0.257901,0.341287,-5.371123,0.541695,0.276862,-5.192933,0.443554,-5.260821,54.732360,0.726371,-0.334594,0,1,0.577500,0.030000,0.000136,0.128809,5,8,4,9,4
8,1.059185,0.116256,father,2,9,1.661596,9.000001,329.767300,437.501500,328.213600,438.174700,1.693308,324.915500,438.933200,331.511700,437.416100,324.915500,426.896900,331.511700,428.371300,-5.689025,0.307342,-2.015515,-5.569928,0.230954,-1.976777,-5.601424,-1.978957,54.737110,0.826994,-0.119609,0,1,0.657500,0.030000,0.000136,0.123853,5,4,5,8,4
8,1.059185,0.116256,mother,8,6,8.338403,6.000000,738.856500,359.782600,740.410200,359.109400,1.693224,743.708300,358.350900,737.112100,359.867900,743.708300,346.314500,737.112100,350.823100,1.872510,0.307342,0.042109,1.753413,0.230955,0.003371,1.784909,0.005551,234.737100,0.826994,-0.119609,0,1,0.657500,0.030000,0.000164,0.123853,1,8,11,7,4
8,1.059185,0.116256,older_sister,9,4,9.338404,4.000000,865.682300,380.920000,867.570900,380.245500,2.005531,871.229300,378.746900,863.912700,381.744000,871.229300,363.586900,863.912700,370.689100,4.174974,0.387100,-0.478691,4.042867,0.282282,-0.555222,4.074818,-0.534183,234.737200,0.826994,-0.152050,0,1,0.657500,0.030000,0.000246,0.128809,1,4,9,12,4
8,1.059185,0.116256,player,3,2,2.661596,2.000000,667.969100,564.327300,666.080300,565.001900,2.005636,662.421900,566.500400,669.738700,563.503400,662.421900,551.340500,669.738700,552.448400,0.404839,0.387100,-5.272866,0.536949,0.282282,-5.196341,0.504998,-5.217379,54.739460,0.826994,-0.152050,0,1,0.657500,0.030000,0.000000,0.128809,5,8,4,9,4
9,1.172319,0.113517,father,2,9,1.742095,9.000001,333.170400,435.799800,334.040600,435.329700,0.989039,335.605500,433.700600,332.475700,436.958800,335.605500,423.578400,332.475700,427.730200,-5.496012,0.258464,-1.881902,-5.552521,0.235645,-1.965098,-5.539979,-1.935504,54.732590,0.927617,0.094174,0,1,0.737500,0.030000,0.000314,0.123853,5,4,5,8,4
9,1.172319,0.113517,mother,8,6,8.257905,6.000000,735.453400,361.484300,734.583100,361.954400,0.989161,733.018200,363.583500,736.148100,360.325300,733.018200,353.461300,736.148100,351.096800,1.679497,0.258464,-0.091503,1.736006,0.235645,-0.008308,1.723464,-0.037901,234.733000,0.927617,0.094174,0,1,0.737500,0.030000,0.000000,0.123853,1,8,11,7,4
9,1.172319,0.113517,older_sister,9,4,9.257905,4.000000,862.279100,382.621800,861.172500,383.300100,1.297890,858.544400,384.827900,863.800700,381.772300,858.544400,371.973800,863.800700,370.400700,3.945941,0.328224,-0.633968,4.040845,0.290366,-0.555943,4.013373,-0.577636,234.732100,0.927617,0.122537,0,1,0.737500,0.030000,0.000061,0.128809,1,4,9,12,4
9,1.172319,0.113517,player,3,2,2.742095,2.000000,671.372200,562.625700,672.478900,561.947500,1.297978,675.107100,560.419700,669.850600,563.475300,675.107100,547.565600,669.850600,552.103700,0.633877,0.328223,-5.117600,0.538970,0.290366,-5.195622,0.566443,-5.173930,54.734720,0.927617,0.122538,0,1,0.737500,0.030000,0.000061,0.128809,5,8,4,9,4
10,1.283849,0.112834,father,2,9,1.822593,9.000001,336.573500,434.098300,338.963500,432.818200,2.711224,344.271700,429.238300,333.655200,436.398200,344.271700,419.842200,333.655200,426.949500,-5.339538,0.239924,-1.767959,-5.531226,0.241267,-1.950783,-5.478534,-1.892059,54.737190,0.028240,0.262065,0,1,0.817500,0.030000,0.000205,0.123853,5,4,5,8,4
10,1.283849,0.112834,mother,8,6,8.177406,6.000000,732.050300,363.185800,729.660300,364.465900,2.711182,724.352100,368.045800,734.968600,360.885900,724.352100,358.649700,734.968600,351.437200,1.523024,0.239923,-0.205447,1.714711,0.241266,-0.022622,1.662020,-0.081347,234.737100,0.028240,0.262065,0,1,0.817500,0.030000,0.000086,0.123853,1,8,11,7,4
10,1.283849,0.112834,older_sister,9,4,9.177406,4.000000,858.876000,384.323300,855.870900,386.018900,3.450494,848.314100,390.132300,863.427700,381.905500,848.314100,378.600100,863.427700,370.175800,3.761227,0.294468,-0.769412,4.034110,0.299509,-0.559344,3.951928,-0.621082,234.737100,0.028240,0.344090,0,1,0.817500,0.030000,0.000136,0.128809,1,4,9,12,4
10,1.283849,0.112834,player,3,2,2.822593,2.000000,674.775300,560.924100,677.780400,559.228500,3.450441,685.336900,555.114900,670.223900,563.342100,685.336900,543.582700,670.223900,551.612500,0.818584,0.294467,-4.982143,0.545708,0.299509,-5.192222,0.627888,-5.130481,54.735020,0.028240,0.344090,0,1,0.817500,0.030000,0.000086,0.128809,5,8,4,9,4
11,1.394458,0.112443,father,2,9,1.903092,9.000001,339.976600,432.397000,340.513100,432.312200,0.543161,345.986800,428.748300,335.039400,435.876200,345.986800,419.957000,335.039400,425.831300,-5.308572,0.224480,-1.755448,-5.506234,0.256490,-1.937455,-5.417089,-1.848616,54.739110,0.128863,0.266470,0,0,0.897500,0.030000,0.000000,0.123853,5,4,5,8,4
11,1.394458,0.112443,mother,8,6,8.096908,6.000000,728.647200,364.887100,728.110700,364.971900,0.543161,722.637100,368.535900,733.584500,361.407900,722.637100,359.744500,733.584500,351.363000,1.492058,0.224481,-0.217959,1.689718,0.256491,-0.035951,1.600575,-0.124790,234.738700,0.128863,0.266470,0,0,0.897500,0.030000,0.000301,0.123853,1,8,11,7,4
11,1.394458,0.112443,older_sister,9,4,9.096909,4.000000,855.473000,386.025000,854.854500,386.140400,0.629135,847.127400,390.236200,862.581500,382.044500,847.127400,379.337700,862.581500,369.634900,3.739801,0.278286,-0.772065,4.018833,0.316871,-0.562895,3.890484,-0.664534,234.733000,0.128863,0.348594,0,0,0.897500,0.030000,0.000031,0.128809,1,4,9,12,4
