seconds,gameTime,member,x,y,gaitDistance,phase,destination,direction,reservationBlocker,movementBlocker
43.0137,09:30,father,0.5588,2.8317,36.4016,Navigating,(1:2),7,,
43.0137,09:30,mother,-1.5767,9.4339,38.9829,Navigating,(11:10),5,,
43.0137,09:30,older_sister,-3.6075,4.8629,37.1322,Navigating,(2:7),1,,
43.0137,09:30,player,2.5323,6.1550,36.6205,Navigating,(9:3),5,,
43.5139,09:31,father,0.8255,2.6350,36.8415,Navigating,(1:2),1,,
43.5139,09:31,mother,-1.1295,9.6575,39.4829,Navigating,(11:10),5,,
43.5139,09:31,older_sister,-4.0546,4.6394,37.6320,Navigating,(2:7),1,,
43.5139,09:31,player,2.9795,6.3786,37.1205,Navigating,(9:3),5,,
44.0121,09:31,father,0.3783,2.4114,37.3415,Navigating,(1:2),1,,
44.0121,09:31,mother,-0.6823,9.8811,39.9828,Navigating,(11:10),5,,
44.0121,09:31,older_sister,-4.3416,4.4959,37.9529,Navigating,(2:7),1,,
44.0121,09:31,player,3.4267,6.6023,37.6204,Navigating,(9:3),5,,
44.5165,09:32,father,-0.0702,2.1871,37.8429,Navigating,(1:2),1,,
44.5165,09:32,mother,-0.2338,10.1053,40.4843,Navigating,(11:10),5,,
44.5165,09:32,older_sister,-4.3351,4.4991,38.1901,Navigating,(5:10),5,,
44.5165,09:32,player,3.8758,6.5065,38.1226,Navigating,(9:3),7,,
45.0153,09:32,father,-0.5169,1.9638,38.3423,Navigating,(1:2),1,,
45.0153,09:32,mother,0.2147,10.1149,40.9857,Navigating,(11:10),7,,
45.0153,09:32,older_sister,-3.8879,4.7227,38.6901,Navigating,(5:10),5,,
45.0153,09:32,player,4.3231,6.2829,38.6226,Navigating,(9:3),7,,
45.5139,09:33,father,-0.7924,1.8260,38.6504,Navigating,(1:2),1,,
45.5139,09:33,mother,0.6409,9.9017,41.4623,Navigating,(11:10),7,,
45.5139,09:33,older_sister,-3.4407,4.9463,39.1901,Navigating,(5:10),5,,
45.5139,09:33,player,4.7703,6.0593,39.1226,Navigating,(9:3),7,,
46.0155,09:33,father,-0.8799,1.7823,38.7682,Navigating,(4:1),5,,
46.0155,09:33,mother,0.8364,9.8040,41.6808,Navigating,(11:10),7,,
46.0155,09:33,older_sister,-2.9935,5.1699,39.6901,Navigating,(5:10),5,,
46.0155,09:33,player,5.1550,5.8670,39.5527,Navigating,(9:3),7,,
46.5061,09:34,father,-0.4636,1.9904,39.2337,Navigating,(4:1),5,,
46.5061,09:34,mother,0.7808,9.7237,41.8603,Navigating,(7:11),1,,
46.5061,09:34,older_sister,-2.5569,5.3882,40.1781,Navigating,(5:10),5,,
46.5061,09:34,player,5.3333,5.7778,39.7521,Idle,,7,,
47.0059,09:34,father,-0.0163,2.2141,39.7337,Navigating,(4:1),5,,
47.0059,09:34,mother,0.3336,9.5001,42.3603,Navigating,(7:11),1,,
47.0059,09:34,older_sister,-2.1097,5.6118,40.6781,Navigating,(5:10),5,,
47.0059,09:34,player,5.0911,5.6567,40.0229,Navigating,(7:3),1,,
47.5070,09:35,father,0.4309,2.4377,40.2337,Navigating,(4:1),5,,
47.5070,09:35,mother,-0.1136,9.2765,42.8603,Navigating,(7:11),1,,
47.5070,09:35,older_sister,-1.8411,5.8095,41.1201,Navigating,(5:10),3,,
47.5070,09:35,player,4.6439,5.4331,40.5229,Navigating,(7:3),1,,
48.0051,09:35,father,0.8781,2.6613,40.7337,Navigating,(4:1),5,,
48.0051,09:35,mother,-0.5608,9.0529,43.3603,Navigating,(7:11),1,,
48.0051,09:35,older_sister,-2.2883,6.0331,41.6201,Navigating,(5:10),3,,
48.0051,09:35,player,4.1967,5.2095,41.0229,Navigating,(7:3),1,,
48.5102,09:36,father,1.3314,2.8879,41.2405,Navigating,(4:1),5,,
48.5102,09:36,mother,-1.0141,8.8262,43.8671,Navigating,(7:11),1,,
48.5102,09:36,older_sister,-2.7417,6.2597,42.1269,Navigating,(5:10),3,,
48.5102,09:36,player,3.7765,4.9994,41.4926,Navigating,(7:3),1,,
49.0093,09:36,father,1.7877,3.1061,41.7507,Navigating,(4:1),7,,
49.0093,09:36,mother,-1.4614,8.6026,44.3671,Navigating,(7:11),1,,
49.0093,09:36,older_sister,-3.1889,6.4833,42.6269,Navigating,(5:10),3,,
49.0093,09:36,player,3.5975,4.9099,41.6927,Navigating,(7:3),1,,
49.5096,09:37,father,2.2310,2.8845,42.2462,Navigating,(4:1),7,,
49.5096,09:37,mother,-1.9086,8.3790,44.8671,Navigating,(7:11),1,,
49.5096,09:37,older_sister,-3.6361,6.7069,43.1268,Navigating,(5:10),3,,
49.5096,09:37,player,3.8127,5.0175,42.0272,Navigating,(9:5),5,,
50.0080,09:37,father,2.5467,2.7267,42.5993,Navigating,(4:1),7,,
50.0080,09:37,mother,-2.3558,8.1554,45.3671,Navigating,(7:11),1,,
50.0080,09:37,older_sister,-4.0825,6.9301,43.6259,Navigating,(5:10),3,,
50.0080,09:37,player,4.2599,5.2411,42.5272,Navigating,(9:5),5,,
50.5109,09:38,father,2.6667,2.6667,42.7334,Idle,,7,,
50.5109,09:38,mother,-2.8068,8.0701,45.8713,Navigating,(7:11),3,,
50.5109,09:38,older_sister,-4.3536,7.0657,43.9290,Navigating,(5:10),3,,
50.5109,09:38,player,4.7103,5.4662,43.0307,Navigating,(9:5),5,,
51.0134,09:38,father,3.0133,2.8400,43.1209,Navigating,(5:5),5,,
51.0134,09:38,mother,-3.2482,8.2908,46.3648,Navigating,(7:11),3,,
51.0134,09:38,older_sister,-4.4802,7.0932,44.0706,Navigating,(1:10),1,,
51.0134,09:38,player,5.1575,5.6899,43.5307,Navigating,(9:5),5,,
51.5135,09:39,father,3.4605,3.0636,43.6209,Navigating,(5:5),5,,
51.5135,09:39,mother,-3.4816,8.4075,46.6258,Navigating,(7:11),3,,
51.5135,09:39,older_sister,-4.9252,6.8707,44.5681,Navigating,(1:10),1,,
51.5135,09:39,player,5.1060,5.8914,43.9814,Navigating,(9:5),3,,
52.0004,09:39,father,3.2686,3.2546,44.0480,Navigating,(5:5),3,,
52.0004,09:39,mother,-3.5516,8.4464,46.7129,Navigating,(8:8),5,,
52.0004,09:39,older_sister,-5.3575,6.6546,45.0514,Navigating,(1:10),1,,
52.0004,09:39,player,4.6737,6.1076,44.4647,Navigating,(9:5),3,,
52.5038,09:40,father,2.8167,3.4805,44.5532,Navigating,(5:5),3,,
52.5038,09:40,mother,-3.1297,8.6574,47.1845,Navigating,(8:8),5,,
52.5038,09:40,older_sister,-5.8094,6.4286,45.5567,Navigating,(1:10),1,,
52.5038,09:40,player,4.2218,6.3335,44.9700,Navigating,(9:5),3,,
53.0022,09:40,father,2.3695,3.7042,45.0532,Navigating,(5:5),3,,
53.0022,09:40,mother,-2.6667,8.8889,47.7022,Navigating,(8:8),5,,
53.0022,09:40,older_sister,-6.2566,6.2050,46.0567,Navigating,(1:10),1,,
53.0022,09:40,player,3.7978,6.5456,45.4441,Navigating,(9:5),3,,
53.5044,09:41,father,1.9223,3.9278,45.5532,Navigating,(5:5),3,,
53.5044,09:41,mother,-2.2284,8.6697,48.1922,Navigating,(8:8),7,,
53.5044,09:41,older_sister,-6.7038,5.9814,46.5567,Navigating,(1:10),1,,
53.5044,09:41,player,3.6059,6.6415,45.6586,Navigating,(9:5),3,,
54.0029,09:41,father,1.4750,4.1514,46.0532,Navigating,(5:5),3,,
54.0029,09:41,mother,-1.7812,8.4461,48.6922,Navigating,(8:8),7,,
54.0029,09:41,older_sister,-7.1510,5.7578,47.0567,Navigating,(1:10),1,,
54.0029,09:41,player,3.3580,6.5679,45.9357,Navigating,(8:5),1,,
54.5036,09:42,father,1.0258,4.3760,46.5555,Navigating,(5:5),3,,
54.5036,09:42,mother,-1.3319,8.2215,49.1945,Navigating,(8:8),7,,
54.5036,09:42,older_sister,-7.6002,5.5332,47.5589,Navigating,(1:10),1,,
54.5036,09:42,player,2.9258,6.3518,46.4190,Navigating,(8:5),1,,
55.0022,09:42,father,0.5786,4.5996,47.0555,Navigating,(5:5),3,,
55.0022,09:42,mother,-0.8847,7.9979,49.6945,Navigating,(8:8),7,,
55.0022,09:42,older_sister,-7.8936,5.3865,47.8869,Navigating,(1:10),1,,
55.0022,09:42,player,2.7233,6.2505,46.6453,Navigating,(8:5),1,,
55.5053,09:43,father,0.1867,4.7956,47.4937,Navigating,(5:5),3,,
55.5053,09:43,mother,-0.4372,7.7741,50.1948,Navigating,(8:8),7,,
55.5053,09:43,older_sister,-7.8919,5.3874,48.1267,Navigating,(5:9),5,,
55.5053,09:43,player,2.9241,6.0935,46.9965,Navigating,(8:4),7,,
56.0038,09:43,father,0.0000,4.8889,47.7024,Idle,,3,,
56.0038,09:43,mother,-0.1205,7.6158,50.5488,Navigating,(8:8),7,,
56.0038,09:43,older_sister,-7.4447,5.6110,48.6267,Navigating,(5:9),5,,
56.0038,09:43,player,3.3369,5.8871,47.4580,Navigating,(8:4),7,,
56.5145,09:44,father,0.2171,4.7803,47.9451,Navigating,(1:2),7,,
56.5145,09:44,mother,0.0000,7.5556,50.6836,Idle,,7,,
56.5145,09:44,older_sister,-6.9892,5.8387,49.1359,Navigating,(5:9),5,,
56.5145,09:44,player,3.5178,5.7967,47.6602,Navigating,(8:4),7,,
57.0024,09:44,father,0.6514,4.5632,48.4306,Navigating,(1:2),7,,
57.0024,09:44,mother,0.3336,7.7224,51.0566,Navigating,(11:11),5,,
57.0024,09:44,older_sister,-6.5550,6.0558,49.6214,Navigating,(5:9),5,,
57.0024,09:44,player,3.8892,5.9446,48.0755,Navigating,(9:3),5,,
57.5008,09:45,father,1.0987,4.3396,48.9307,Navigating,(1:2),7,,
57.5008,09:45,mother,0.7809,7.9460,51.5567,Navigating,(11:11),5,,
57.5008,09:45,older_sister,-6.1077,6.2795,50.1215,Navigating,(5:9),5,,
57.5008,09:45,player,4.3365,6.1682,48.5756,Navigating,(9:3),5,,
58.0166,09:45,father,1.5608,4.1085,49.4474,Navigating,(1:2),7,,
58.0166,09:45,mother,1.2431,8.1771,52.0734,Navigating,(11:11),5,,
58.0166,09:45,older_sister,-5.6455,6.5106,50.6382,Navigating,(5:9),5,,
58.0166,09:45,player,4.7933,6.0478,49.0863,Navigating,(9:3),7,,
58.5029,09:46,father,1.9972,3.8903,49.9352,Navigating,(1:2),7,,
58.5029,09:46,mother,1.6794,8.3953,52.5612,Navigating,(11:11),5,,
58.5029,09:46,older_sister,-5.2092,6.7287,51.1260,Navigating,(5:9),5,,
58.5029,09:46,player,5.1614,5.8637,49.4979,Navigating,(9:3),7,,
59.0011,09:46,father,2.4444,3.6667,50.4352,Navigating,(1:2),7,,
59.0011,09:46,mother,2.1267,8.6189,53.0612,Navigating,(11:11),5,,
59.0011,09:46,older_sister,-4.7620,6.9524,51.6260,Navigating,(5:9),5,,
59.0011,09:46,player,5.3333,5.7778,49.6901,Idle,,7,,
59.5059,09:47,father,2.4841,3.4642,50.8879,Navigating,(1:2),1,,
59.5059,09:47,mother,2.5739,8.8425,53.5612,Navigating,(11:11),5,,
59.5059,09:47,older_sister,-4.3192,7.0485,52.1210,Navigating,(5:9),7,,
59.5059,09:47,player,4.9569,5.5896,50.1109,Navigating,(7:5),1,,
