frame,actor,phase,grid_x,grid_y,position_x,position_y,radius,desk_penetrating_vertices,desk_min_clearance,body_reach
29,player,Navigating,1.825227,7.000000,-4.599798,4.366767,0.220000,0,1.638831,0.487316
29,father,Navigating,7.178604,9.999998,-2.507906,8.079379,0.220000,0,1.953770,0.410146
30,player,Navigating,1.744728,7.000000,-4.671352,4.330990,0.220000,0,1.727271,0.408742
30,father,Navigating,7.259103,9.999998,-2.436352,8.115156,0.220000,0,1.949418,0.333047
31,player,Navigating,1.664230,7.000000,-4.742907,4.295213,0.220000,0,1.759826,0.331614
31,father,Navigating,7.339601,9.999998,-2.364798,8.150933,0.220000,0,1.829525,0.344481
32,player,Navigating,1.583732,7.000000,-4.814461,4.259436,0.220000,0,1.791765,0.348875
32,father,Navigating,7.420099,9.999998,-2.293243,8.186710,0.220000,0,1.696047,0.361378
33,player,Navigating,1.503233,7.000000,-4.886015,4.223659,0.220000,0,1.822001,0.406489
33,father,Navigating,7.500598,9.999998,-2.221689,8.222487,0.220000,0,1.640363,0.385850
34,player,Navigating,1.422734,7.000000,-4.957570,4.187882,0.220000,0,1.856690,0.470389
34,father,Navigating,7.581097,9.999998,-2.150135,8.258265,0.220000,0,1.638476,0.395641
35,player,Navigating,1.342236,7.000000,-5.029124,4.152105,0.220000,0,1.944746,0.416803
35,father,Navigating,7.661595,9.999998,-2.078581,8.294042,0.220000,0,1.650337,0.371144
36,player,Navigating,1.261737,7.000000,-5.100678,4.116328,0.220000,0,2.115957,0.339145
36,father,Navigating,7.742093,9.999998,-2.007027,8.329819,0.220000,0,1.648025,0.353485
37,player,Navigating,1.181239,7.000000,-5.172232,4.080551,0.220000,0,2.139787,0.330338
37,father,Navigating,7.822592,9.999998,-1.935472,8.365596,0.220000,0,1.466103,0.351441
38,player,Navigating,1.100740,7.000000,-5.243786,4.044774,0.220000,0,2.136999,0.415908
38,father,Navigating,7.903090,9.999998,-1.863918,8.401373,0.220000,0,1.452446,0.362690
39,player,Navigating,1.020242,7.000000,-5.315341,4.008996,0.220000,0,Infinity,0.488454
39,father,Navigating,7.983589,9.999998,-1.792364,8.437150,0.220000,0,1.454515,0.409345
40,player,Navigating,1.000000,6.996377,-5.330113,3.998390,0.220000,0,Infinity,0.478736
40,father,Navigating,8.064087,9.999998,-1.720810,8.472927,0.220000,0,1.436187,0.332720
41,player,Navigating,1.000000,6.951299,-5.290043,3.978355,0.220000,0,2.154171,0.419307
41,father,Navigating,8.144586,9.999998,-1.649256,8.508704,0.220000,0,1.295234,0.345253
42,player,Navigating,1.000000,6.871706,-5.219295,3.942981,0.220000,0,2.094380,0.330217
42,father,Navigating,8.225084,9.999998,-1.577702,8.544481,0.220000,0,1.205963,0.363286
43,player,Navigating,1.000000,6.791208,-5.147741,3.907204,0.220000,0,1.863534,0.346153
43,father,Navigating,8.305582,9.999998,-1.506147,8.580258,0.220000,0,1.171859,0.386857
44,player,Navigating,1.000000,6.710711,-5.076187,3.871427,0.220000,0,1.871030,0.399287
44,father,Navigating,8.386081,9.999998,-1.434593,8.616035,0.220000,0,1.177268,0.395535
45,player,Navigating,1.000000,6.630213,-5.004633,3.835650,0.220000,0,1.884665,0.465987
45,father,Navigating,8.466579,9.999998,-1.363039,8.651813,0.220000,0,1.196531,0.369757
46,player,Navigating,1.000000,6.549715,-4.933080,3.799873,0.220000,0,1.884969,0.425744
46,father,Navigating,8.547078,9.999998,-1.291485,8.687590,0.220000,0,1.229608,0.352786
47,player,Navigating,1.000000,6.469217,-4.861526,3.764096,0.220000,0,1.752416,0.341186
47,father,Navigating,8.627577,9.999998,-1.219931,8.723367,0.220000,0,1.159977,0.351456
48,player,Navigating,1.000000,6.388719,-4.789972,3.728319,0.220000,0,1.633323,0.330282
48,father,Navigating,8.708075,9.999998,-1.148376,8.759144,0.220000,0,1.168813,0.367598
49,player,Navigating,1.000000,6.308221,-4.718419,3.692543,0.220000,0,1.582048,0.406920
49,father,Navigating,8.788573,9.999998,-1.076822,8.794921,0.220000,0,1.166275,0.407693
50,player,Navigating,1.000000,6.227723,-4.646865,3.656766,0.220000,0,1.597579,0.486492
50,father,Navigating,8.869072,9.999998,-1.005268,8.830698,0.220000,0,1.087259,0.332883
51,player,Navigating,1.000000,6.147225,-4.575311,3.620989,0.220000,0,1.587810,0.412780
51,father,Navigating,8.949570,9.999998,-0.933714,8.866475,0.220000,0,0.996257,0.345935
52,player,Navigating,1.000000,6.066727,-4.503757,3.585212,0.220000,0,1.574800,0.331153
52,father,Navigating,9.030068,9.999998,-0.862160,8.902252,0.220000,0,0.933081,0.365255
53,player,Navigating,1.000000,5.986229,-4.432204,3.549435,0.220000,0,1.426350,0.347954
53,father,Navigating,9.110567,9.999998,-0.790606,8.938029,0.220000,0,0.910287,0.387840
54,player,Navigating,1.000000,5.905731,-4.360650,3.513658,0.220000,0,1.445222,0.404064
54,father,Navigating,9.191066,9.999998,-0.719051,8.973806,0.220000,0,0.921771,0.394971
55,player,Navigating,1.000000,5.825233,-4.289096,3.477881,0.220000,0,1.454305,0.468821
55,father,Navigating,9.271564,9.999998,-0.647497,9.009583,0.220000,0,0.944209,0.368433
56,player,Navigating,1.000000,5.744735,-4.217543,3.442105,0.220000,0,1.379649,0.419867
56,father,Navigating,9.352062,9.999998,-0.575943,9.045361,0.220000,0,0.977931,0.352269
57,player,Navigating,1.000000,5.664237,-4.145989,3.406328,0.220000,0,1.272310,0.339803
57,father,Navigating,9.432561,9.999998,-0.504389,9.081138,0.220000,0,0.908009,0.351426
58,player,Navigating,1.000000,5.583740,-4.074435,3.370551,0.220000,0,1.207526,0.330209
58,father,Navigating,9.513060,9.999998,-0.432835,9.116915,0.220000,0,0.919348,0.372400
59,player,Navigating,1.000000,5.503242,-4.002882,3.334774,0.220000,0,1.189812,0.412886
59,father,Navigating,9.593557,9.999998,-0.361281,9.152692,0.220000,0,0.912615,0.405058
